transaction_id,sender_id,receiver_id,amount,timestamp
T000001,ACC995966,ACC988516,13355.87,2026-01-02 19-35-00
T000002,ACC128870,ACC808934,5808.31,2026-01-03 09-12-00
T000003,ACC979561,ACC357949,23642.83,2026-01-11 20-14-00
T000004,ACC758757,ACC167672,8423.18,2026-01-12 10-34-00
T000005,ACC543163,ACC457859,21837.13,2026-01-09 23-59-00
T000006,ACC824467,ACC930777,1785.57,2026-01-03 13-01-00
T000007,ACC170052,ACC647050,9104.15,2026-01-14 14-20-00
T000008,ACC585850,ACC358279,8512.16,2026-01-14 16-48-00
T000009,ACC582504,ACC693489,3531.47,2026-01-05 17-07-00
T000010,ACC167369,ACC722805,3300.13,2026-01-08 03-10-00
T000011,ACC994034,ACC508795,23924.84,2026-01-10 06-55-00
T000012,ACC327163,ACC664403,12411.9,2026-01-03 23-33-00
T000013,ACC946486,ACC918136,17849.49,2026-01-08 14-09-00
T000014,ACC985853,ACC690747,21642.82,2026-01-10 13-49-00
T000015,ACC373257,ACC573343,12273.46,2026-01-16 06-49-00
T000016,ACC867401,ACC283510,12034.85,2026-01-10 19-59-00
T000017,ACC210034,ACC116404,8671.37,2026-01-11 13-44-00
T000018,ACC415763,ACC191134,9487.1,2026-01-15 18-23-00
T000019,ACC260869,ACC679395,19241.91,2026-01-13 11-44-00
T000020,ACC911998,ACC372054,18444.71,2026-01-13 01-40-00
T000021,ACC277187,ACC532396,22543.85,2026-01-14 09-22-00
T000022,ACC660710,ACC881099,24973.98,2026-01-08 12-24-00
T000023,ACC699410,ACC838564,18603.57,2026-01-03 04-43-00
T000024,ACC224658,ACC281837,12552.28,2026-01-01 22-26-00
T000025,ACC992044,ACC830468,2815.61,2026-01-04 00-33-00
T000026,ACC344360,ACC576319,20585.14,2026-01-12 09-44-00
T000027,ACC268962,ACC970396,17978.7,2026-01-11 02-56-00
T000028,ACC209908,ACC624256,15250.1,2026-01-04 11-18-00
T000029,ACC514549,ACC752137,23239.79,2026-01-13 19-32-00
T000030,ACC626722,ACC543112,3237.03,2026-01-13 13-52-00
T000031,ACC821111,ACC478801,24272.09,2026-01-10 04-40-00
T000032,ACC547326,ACC180354,2503.77,2026-01-04 14-38-00
T000033,ACC282518,ACC651704,18627.24,2026-01-03 13-25-00
T000034,ACC810075,ACC980863,14217.86,2026-01-13 05-00-00
T000035,ACC196708,ACC949175,7717.23,2026-01-08 04-47-00
T000036,ACC131515,ACC483594,22300.6,2026-01-10 05-41-00
T000037,ACC383602,ACC387408,21499.01,2026-01-10 13-14-00
